1
0920,BILSA,INDUSTDY,103593,4870,1L01,1,UGRD,"EXTRUSION TECHNOLOGY",1242,0,0,"",C,0,"TBA"
0920,BILSA,INDUSTDY,103595,4900,01,1,UGRD,"WORK MEASURMNT & HUMAN FACTORS",1243,23,25,"Lafay,John J",C,3,"RUS 0104 MWF 12:00 PM-12:52 PM;"
0920,BILSA,INDUSTDY,103598,4940,01,1,UGRD,"QUALITY ASSURANCE",1244,29,23,"Heimerdinger,David W",O,3,"RUS 0001 T 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103598,4940,1L01,1,UGRD,"QUALITY ASSURANCE",1245,29,23,"Heimerdinger,David W",O,0,"RUS 0001 Th 10:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103599,4950,01,1,UGRD,"PROD PLANNING AND CONTROL",1246,28,29,"Lafay,John J",C,3,"RUS 0104 MWF 09:00 AM-09:52 AM;"
0920,BILSA,INDUSTDY,103600,4960,01,1,UGRD,"COMMERC BLDG PLAN/CONSTR TECH",1247,20,16,"Albers,Mark B",O,3,"RUS 0005 MWF 11:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103601,4970,01,1,UGRD,"INDEPENDENT STUDY",1248,5,0,"Albers,Mark B",O,1,"TBA;"
0920,BILSA,INDUSTDY,103601,4970,02,1,UGRD,"INDEPENDENT STUDY",1249,5,0,"Heimerdinger,David W",O,1,"TBA;"
0920,BILSA,INDUSTDY,103601,4970,03,1,UGRD,"INDEPENDENT STUDY",1250,5,0,"Kaiser,Colleen R",O,1,"TBA;"
0920,BILSA,INDUSTDY,103601,4970,04,1,UGRD,"INDEPENDENT STUDY",1251,5,0,"Metzloff,Kyle",O,1,"TBA;"
0920,LAE,TEACHING,104111,2210,01,1,UGRD,"FOUND OF EARLY CHILDHOOD EDUC",1252,30,25,"Marciniec,Peggy V",O,3,"DOU 0205B M 09:00 AM-11:52 AM;"
0920,LAE,TEACHING,104111,2210,02,1,UGRD,"FOUND OF EARLY CHILDHOOD EDUC",1253,30,14,"Weier,Janis K",O,3,"DOU 0205B W 09:00 AM-11:52 AM;"
0920,BILSA,INDUSTDY,103601,4970,05,1,UGRD,"INDEPENDENT STUDY",1254,5,0,"Novak,Ryan A.",O,1,"TBA;"
0920,EMS,INDSTENG,104507,2130,01,1,UGRD,"FUND OF INDUST AND SYSTMS ENGR",1058,40,39,"Clough,Jill M",O,3,"EGH 0115 TTh 10:00 AM-10:52 AM;"
0920,EMS,INDSTENG,104507,2130,1L01,1,UGRD,"FUND OF INDUST AND SYSTMS ENGR",1059,20,20,"Clough,Jill M",C,0,"EGH 0127 T 03:00 PM-04:52 PM;"
0920,EMS,INDSTENG,104507,2130,2L01,1,UGRD,"FUND OF INDUST AND SYSTMS ENGR",1060,20,19,"Clough,Jill M",O,0,"EGH 0127 T 11:00 AM-12:52 PM;"
0920,EMS,INDSTENG,105720,3430,01,1,UGRD,"HUMAN FACTORS ENGINEERING",1061,30,31,"Jinkins,Patricia A",C,3,"EGH 0331 MW 11:00 AM-11:52 AM;"
0920,EMS,INDSTENG,105720,3430,1L01,1,UGRD,"HUMAN FACTORS ENGINEERING",1062,15,15,"Jinkins,Patricia A",C,0,"EGH 0331 Th 11:00 AM-12:52 PM;"
0920,EMS,INDSTENG,105720,3430,2L01,1,UGRD,"HUMAN FACTORS ENGINEERING",1063,15,16,"Jinkins,Patricia A",C,0,"EGH 0331 F 11:00 AM-12:52 PM;"
